yield of 15d,Alcohol(mM),HBr(mM),Temperature(Â°C)
-0.010656059567715204,5.742,0.0,6.0
0.000905966391776758,5.742,0.0,21.0
0.003797866803822103,5.742,0.0,36.0
-0.005769633587803469,5.742,0.0,51.0
-0.0403509436281837,5.742,0.0,66.0
-0.001741759835269363,5.742,17.15,6.0
0.015434317221540539,5.742,17.15,21.0
0.025601983017466523,5.742,17.15,36.0
0.020558887450526697,5.742,17.15,51.0
-0.014105631711537114,5.742,17.15,66.0
-0.01635429251773246,5.742,34.3,6.0
0.0029890222726862703,5.742,34.3,21.0
0.014656881177536718,5.742,34.3,36.0
0.01228738148976305,5.742,34.3,51.0
-0.016265985508944425,5.742,34.3,66.0
-0.017662203935593368,5.742,51.449999999999996,6.0
0.0031453041872637755,5.742,51.449999999999996,21.0
0.009927119819536756,5.742,51.449999999999996,36.0
0.0036108356087325433,5.742,51.449999999999996,51.0
-0.02091099132351104,5.742,51.449999999999996,66.0
-0.008882591635121173,5.742,68.6,6.0
0.013218355340242738,5.742,68.6,21.0
0.014997235024530653,5.742,68.6,36.0
0.0032633341547807504,5.742,68.6,51.0
-0.020140066926039424,5.742,68.6,66.0
0.11693254550403154,10.0315,0.0,6.0
0.15108713092992332,10.0315,0.0,21.0
0.1548463489565286,10.0315,0.0,36.0
0.11881010888741272,10.0315,0.0,51.0
0.038488793610131466,10.0315,0.0,66.0
0.11475083147814047,10.0315,17.15,6.0
0.1630540093994881,10.0315,17.15,21.0
0.18113356800552083,10.0315,17.15,36.0
0.14879279859134442,10.0315,17.15,51.0
0.061046500324380304,10.0315,17.15,66.0
0.06797597355806317,10.0315,34.3,6.0
0.12234368869069812,10.0315,34.3,21.0
0.14779991307632656,10.0315,34.3,36.0
0.12217031357302233,10.0315,34.3,51.0
0.04345201211416594,10.0315,34.3,66.0
0.037904543124327006,10.0315,51.449999999999996,6.0
0.09181008149920444,10.0315,51.449999999999996,21.0
0.11240603312131014,10.0315,51.449999999999996,36.0
0.08689778970541795,10.0315,51.449999999999996,51.0
0.021316994567669667,10.0315,51.449999999999996,66.0
0.03188485300705679,10.0315,68.6,6.0
0.08043617908911216,10.0315,68.6,21.0
0.09186012040181879,10.0315,68.6,36.0
0.06451505285733106,10.0315,68.6,51.0
0.01087656469840681,10.0315,68.6,66.0
0.16233171364201482,14.320999999999998,0.0,6.0
0.20126335079234892,14.320999999999998,0.0,21.0
0.2015534091551885,14.320999999999998,0.0,36.0
0.15617823817202492,14.320999999999998,0.0,51.0
0.06047894584030189,14.320999999999998,0.0,66.0
0.15022701948059236,14.320999999999998,17.15,6.0
0.20364895797887783,14.320999999999998,17.15,21.0
0.21928191087392435,14.320999999999998,17.15,36.0
0.17780512484827682,14.320999999999998,17.15,51.0
0.07347786901581799,14.320999999999998,17.15,66.0
0.08087817153246846,14.320999999999998,34.3,6.0
0.1433764932703916,14.320999999999998,34.3,21.0
0.1721547118252431,14.320999999999998,34.3,36.0
0.14095017724162062,14.320999999999998,34.3,51.0
0.04711789531229371,14.320999999999998,34.3,66.0
0.03116256300295106,14.320999999999998,51.449999999999996,6.0
0.09628960495588501,14.320999999999998,51.449999999999996,21.0
0.12540914663030378,14.320999999999998,51.449999999999996,36.0
0.09805665332288527,14.320999999999998,51.449999999999996,51.0
0.0205986687099724,14.320999999999998,51.449999999999996,66.0
0.019997160635625733,14.320999999999998,68.6,6.0
0.08012436379138421,14.320999999999998,68.6,21.0
0.1009418811121705,14.320999999999998,68.6,36.0
0.0734260453593123,14.320999999999998,68.6,51.0
0.01118413599086665,14.320999999999998,68.6,66.0
0.14890595751766256,18.6105,0.0,6.0
0.1823142678902343,18.6105,0.0,21.0
0.17795618651579304,18.6105,0.0,36.0
0.13514062560770768,18.6105,0.0,51.0
0.04674870172743084,18.6105,0.0,66.0
0.13442908644935514,18.6105,17.15,6.0
0.17407303869627455,18.6105,17.15,21.0
0.178918206850323,18.6105,17.15,36.0
0.14045572524579342,18.6105,17.15,51.0
0.04857559340301876,18.6105,17.15,66.0
0.061797644410198416,18.6105,34.3,6.0
0.10918021585574422,18.6105,34.3,21.0
0.1287187837792736,18.6105,34.3,36.0
0.1025228418316182,18.6105,34.3,51.0
0.022137302016339788,18.6105,34.3,66.0
0.007369411125146996,18.6105,51.449999999999996,6.0
0.06225264648073647,18.6105,51.449999999999996,21.0
0.0894256424944544,18.6105,51.449999999999996,36.0
0.07000886027036302,18.6105,51.449999999999996,51.0
0.0038277112465578966,18.6105,51.449999999999996,66.0
-0.0038796065262332036,18.6105,68.6,6.0
0.051955293833586325,18.6105,68.6,21.0
0.07684693383662022,18.6105,68.6,36.0
0.05842776327850174,18.6105,68.6,51.0
0.004083523086002572,18.6105,68.6,66.0
0.12639598784982908,22.9,0.0,6.0
0.1593175853255353,22.9,0.0,21.0
0.15405303578454266,22.9,0.0,36.0
0.11208177624881088,22.9,0.0,51.0
0.030377238292112807,22.9,0.0,66.0
0.11940888382223491,22.9,17.15,6.0
0.14975845005594657,22.9,17.15,21.0
0.1459936977790548,22.9,17.15,36.0
0.1073897215028019,22.9,17.15,51.0
0.027245446993607203,22.9,17.15,66.0
0.06060333438719212,22.9,34.3,6.0
0.09365561781417853,22.9,34.3,21.0
0.10120917045332334,22.9,34.3,36.0
0.07480346109927183,22.9,34.3,51.0
0.007010561156967299,22.9,34.3,66.0
0.012904204416646081,22.9,51.449999999999996,6.0
0.054448806102129765,22.9,51.449999999999996,21.0
0.07326599346892237,22.9,51.449999999999996,36.0
0.055875916560175654,22.9,51.449999999999996,51.0
-0.0001413395205460688,22.9,51.449999999999996,66.0
-0.00023261574676780583,22.9,68.6,6.0
0.04664626939828764,22.9,68.6,21.0
0.06936383623063946,22.9,68.6,36.0
0.05568610798878737,22.9,68.6,51.0
0.008456265385589745,22.9,68.6,66.0
